codigo,produto,categoria,marca,preco_venda,custo_unitario,estoque,fornecedor,observacao
MOD-0001,Meia Nexo 01,Moda,Nexo,65.41,46.13,15,Hub Nordeste,
ESP-0001,Halter Viva 01,Esporte,Viva,156.78,115.15,31,Hub Nordeste,
PET-0001,Comedouro Alva 01,Pet,Alva,57.89,32.2,40,Comercial Sul,
BRI-0001,Kit criativo Fluxo 01,Brinquedos,Fluxo,104.23,41.0,11,Parceiro Centro-Oeste,
INF-0001,Mouse Prisma 01,Informática,Prisma,215.29,112.92,18,Hub Nordeste,
AUT-0001,Organizador Nexo 01,Automotivo,Nexo,82.52,57.69,12,Central Sudeste,
MOD-0002,Boné Viva 02,Moda,Viva,76.86,40.5,24,Central Sudeste,Produto sazonal
MOD-0003,Boné Horizonte 03,Moda,Horizonte,135.7,54.85,31,Distribuidora Norte,
ELE-0001,Carregador Lume 01,Eletrônicos,Lume,126.18,82.1,22,Parceiro Centro-Oeste,
ESP-0002,Faixa elástica Horizonte 02,Esporte,Horizonte,32.07,19.01,23,Comercial Sul,
BEL-0001,Escova Vértice 01,Beleza,Vértice,109.97,64.02,28,Comercial Sul,Reposição prioritária
FER-0001,Lanterna Fluxo 01,Ferramentas,Fluxo,90.94,60.34,13,Parceiro Centro-Oeste,Revisar embalagem
BRI-0002,Boneco Orbe 02,Brinquedos,Orbe,71.05,27.91,2,Central Sudeste,
PET-0002,Coleira Terra 02,Pet,Terra,61.95,26.03,27,Central Sudeste,
ESP-0003,Halter Lume 03,Esporte,Lume,108.71,41.38,33,Comercial Sul,
ELE-0002,Cabo USB Nexo 02,Eletrônicos,Nexo,231.39,114.79,5,Parceiro Centro-Oeste,
PAP-0001,Caderno Brisa 01,Papelaria,Brisa,39.42,16.94,22,Hub Nordeste,
INF-0002,Hub USB Nexo 02,Informática,Nexo,282.67,167.48,15,Central Sudeste,
PET-0003,Cama pet Horizonte 03,Pet,Horizonte,86.62,33.85,10,Distribuidora Norte,
BRI-0003,Kit criativo Fluxo 03,Brinquedos,Fluxo,75.67,55.81,37,Distribuidora Norte,
MOD-0004,Carteira Alva 04,Moda,Alva,44.77,21.76,25,Hub Nordeste,
BEL-0002,Aparador Brisa 02,Beleza,Brisa,108.29,67.57,41,Comercial Sul,
AUT-0002,Suporte veicular Terra 02,Automotivo,Terra,101.28,53.36,17,Central Sudeste,
FER-0002,Organizador Fluxo 02,Ferramentas,Fluxo,189.96,130.93,28,Distribuidora Norte,
MOD-0005,Carteira Lume 05,Moda,Lume,68.85,44.55,5,Comercial Sul,
ELE-0003,Cabo USB Nexo 03,Eletrônicos,Nexo,495.0,255.31,48,Distribuidora Norte,
ESP-0004,Halter Ponto 04,Esporte,Ponto,64.97,38.76,16,Hub Nordeste,
INF-0003,Teclado Horizonte 03,Informática,Horizonte,211.55,106.24,24,Distribuidora Norte,Produto sazonal
ELE-0004,Fone sem fio Fluxo 04,Eletrônicos,Fluxo,329.12,147.08,17,Distribuidora Norte,
BRI-0004,Kit criativo Fluxo 04,Brinquedos,Fluxo,38.01,15.96,15,Hub Nordeste,
MOD-0006,Mochila Orbe 06,Moda,Orbe,27.83,19.05,12,Distribuidora Norte,
AUT-0003,Capa protetora Lume 03,Automotivo,Lume,66.29,32.26,6,Comercial Sul,
CAS-0001,Luminária Brisa 01,Casa e Cozinha,Brisa,139.54,75.62,16,Central Sudeste,
BEL-0003,Escova Horizonte 03,Beleza,Horizonte,68.33,47.81,18,Distribuidora Norte,
ESP-0005,Faixa elástica Nexo 05,Esporte,Nexo,87.48,37.2,43,Parceiro Centro-Oeste,
ELE-0005,Fone sem fio Brisa 05,Eletrônicos,Brisa,343.07,145.06,29,Central Sudeste,
ELE-0006,Carregador Orbe 06,Eletrônicos,Orbe,272.67,200.66,29,Hub Nordeste,Produto sazonal
ESP-0006,Colchonete Orbe 06,Esporte,Orbe,143.09,95.3,67,Distribuidora Norte,Produto sazonal
ELE-0007,Carregador Nexo 07,Eletrônicos,Nexo,230.2,87.67,5,Comercial Sul,
BRI-0005,Jogo educativo Terra 05,Brinquedos,Terra,84.9,60.44,14,Hub Nordeste,
ESP-0007,Corda Nexo 07,Esporte,Nexo,101.37,51.03,33,Central Sudeste,
PET-0004,Kit de higiene Raiz 04,Pet,Raiz,85.55,48.88,29,Hub Nordeste,
BRI-0006,Quebra-cabeça Lume 06,Brinquedos,Lume,89.19,57.0,25,Hub Nordeste,
CAS-0002,Organizador Nexo 02,Casa e Cozinha,Nexo,120.14,49.62,36,Comercial Sul,
PET-0005,Kit de higiene Brisa 05,Pet,Brisa,56.22,38.78,9,Central Sudeste,
PET-0006,Comedouro Fluxo 06,Pet,Fluxo,76.68,34.73,45,Hub Nordeste,
BEL-0004,Escova Ponto 04,Beleza,Ponto,141.34,103.38,34,Distribuidora Norte,
