codigo,produto,categoria,marca,preco_venda,custo_unitario,estoque,fornecedor,observacao
MOD-0001,Meia Brisa 01,Moda,Brisa,85.31,46.12,25,Central Sudeste,
ESP-0001,Corda Horizonte 01,Esporte,Horizonte,98.95,62.52,24,Parceiro Centro-Oeste,
ESP-0001,Cama pet Fluxo 01,Pet,Fluxo,47.39,33.41,32,Comercial Sul,
BRI-0001,Kit criativo Alva 01,Brinquedos,Alva,63.78,34.16,27,Hub Nordeste,
INF-0001,Hub USB Alva 01,Informática,Alva,301.7,150.48,30,Parceiro Centro-Oeste,Produto sazonal
AUT-0001,Organizador Nexo 01,Automotivo,Nexo,117.11,45.46,14,Central Sudeste,
MOD-0002,Carteira Nexo 02,Moda,Nexo,84.28,49.37,6,Central Sudeste,
MOD-0003,,Moda,Prisma,70.54,45.27,35,Hub Nordeste,
ELE-0001,Caixa de som Orbe 01,Eletrônicos,Orbe,538.86,365.74,49,Parceiro Centro-Oeste,
ESP-0002,Colchonete Viva 02,Esporte,Viva,100.7,39.89,18,Parceiro Centro-Oeste,Produto sazonal
BEL-0001,Escova Vértice 01,Beleza,Vértice,105.9,52.29,25,Central Sudeste,
FER-0001,Trena Alva 01,Ferramentas,Alva,65.4,27.74,-4,Parceiro Centro-Oeste,
BRI-0002,Jogo educativo Brisa 02,Brinquedos,Brisa,55.52,36.63,15,Central Sudeste,
PET-0002,Brinquedo pet Alva 02,Pet,Alva,31.2,17.54,12,Hub Nordeste,
ESP-0003,Corda Raiz 03,Esporte,Raiz,86.0,36.51,27,Central Sudeste,
ELE-0002,Smartwatch Orbe 02,Eletrônicos,Orbe,0.0,71.66,20,Central Sudeste,
PAP-0001,Caderno Viva 01,Papelaria,Viva,65.3,46.74,26,Central Sudeste,
INF-0002,Suporte para notebook Fluxo 02,Informática,Fluxo,79.6,45.46,15,Hub Nordeste,
PET-0003,Kit de higiene Lume 03,Pet,Lume,65.61,45.42,8,Parceiro Centro-Oeste,
BRI-0003,Jogo educativo Vértice 03,Brinquedos,Vértice,67.81,29.34,42,Distribuidora Norte,
MOD-0004,Boné Atlas 04,Moda,Atlas,65.77,26.3,29,Parceiro Centro-Oeste,
BEL-0002,Escova Viva 02,Beleza,Viva,95.0,114.0,24,Comercial Sul,
AUT-0002,Capa protetora Lume 02,Automotivo,Lume,68.84,35.42,33,Hub Nordeste,Produto sazonal
FER-0002,Jogo de chaves Terra 02,Ferramentas,Terra,130.73,95.78,21,Parceiro Centro-Oeste,
MOD-0005,Meia Orbe 05,Moda,Orbe,76.3,52.55,5,Comercial Sul,
ELE-0003,Fone sem fio Raiz 03,Eletrônicos,Raiz,234.47,146.98,29,Central Sudeste,
ESP-0004,Halter Orbe 04,Esporte,Orbe,164.9,101.4,37,Distribuidora Norte,
INF-0003,Mouse Ponto 03,Informática,Ponto,167.42,100.65,40,Hub Nordeste,
COD INVÁLIDO,Smartwatch Terra 04,Eletrônicos,Terra,163.27,76.94,14,Distribuidora Norte,
BRI-0004,Blocos Nexo 04,Brinquedos,Nexo,87.56,57.36,31,Comercial Sul,
MOD-0006,Carteira Atlas 06,Moda,Atlas,126.16,77.82,38,Parceiro Centro-Oeste,Produto sazonal
AUT-0003,Kit de limpeza Ponto 03,Automotivo,Ponto,66.27,32.68,32,Central Sudeste,
CAS-0001,Panela Raiz 01,Casa e Cozinha,Raiz,90.46,64.86,20,Distribuidora Norte,
BEL-0003,Secador Nexo 03,,Nexo,79.83,30.69,38,Comercial Sul,
ESP-0005,Corda Horizonte 05,Esporte,Horizonte,103.74,68.6,31,Distribuidora Norte,Reposição prioritária
ELE-0005,Cabo USB Atlas 05,Eletrônicos,Atlas,320.37,225.2,24,Hub Nordeste,
ELE-0006,Caixa de som Vértice 06,Eletrônicos,Vértice,292.56,114.98,25,Central Sudeste,
ESP-0006,Faixa elástica Fluxo 06,Esporte,Fluxo,113.01,80.69,33,Distribuidora Norte,
ELE-0007,Caixa de som Atlas 07,Eletrônicos,Atlas,231.22,149.89,20,Distribuidora Norte,
